team;season;victories;defeats;overtime_defeats;victory_percentage;scored_goals;received_goals;goal_difference;season_max_victories;goals_ratio
Boston Bruins;1993;42;29;0;0.5;289;252;37;52;1.1468253968253967
Buffalo Sabres;1993;43;32;0;0.512;282;218;64;52;1.2935779816513762
Calgary Flames;1993;42;29;0;0.5;302;256;46;52;1.1796875
Chicago Blackhawks;1993;39;36;0;0.464;254;240;14;52;1.0583333333333333
Dallas Stars;1993;42;29;0;0.5;286;265;21;52;1.079245283018868
Detroit Red Wings;1993;46;30;0;0.548;356;275;81;52;1.2945454545454544
Edmonton Oilers;1993;25;45;0;0.298;261;305;-44;52;0.8557377049180328
Florida Panthers;1993;33;34;0;0.393;233;233;0;52;1.0
Hartford Whalers;1993;27;48;0;0.321;227;288;-61;52;0.7881944444444444
Los Angeles Kings;1993;27;45;0;0.321;294;322;-28;52;0.9130434782608695
Montreal Canadiens;1993;41;29;0;0.488;283;248;35;52;1.1411290322580645
New Jersey Devils;1993;47;25;0;0.56;306;220;86;52;1.3909090909090909
New York Islanders;1993;36;36;0;0.429;282;264;18;52;1.0681818181818181
New York Rangers;1993;52;24;0;0.619;299;231;68;52;1.2943722943722944
Ottawa Senators;1993;14;61;0;0.167;201;397;-196;52;0.5062972292191436
Philadelphia Flyers;1993;35;39;0;0.417;294;314;-20;52;0.9363057324840764
Pittsburgh Penguins;1993;44;27;0;0.524;299;285;14;52;1.0491228070175438
Quebec Nordiques;1993;34;42;0;0.405;277;292;-15;52;0.9486301369863014
San Jose Sharks;1993;33;35;0;0.393;252;265;-13;52;0.9509433962264151
St. Louis Blues;1993;40;33;0;0.476;270;283;-13;52;0.9540636042402827
Tampa Bay Lightning;1993;30;43;0;0.357;224;251;-27;52;0.8924302788844621
Toronto Maple Leafs;1993;43;29;0;0.512;280;243;37;52;1.1522633744855968
Vancouver Canucks;1993;41;40;0;0.488;279;276;3;52;1.0108695652173914
Washington Capitals;1993;39;35;0;0.464;277;263;14;52;1.053231939163498
Winnipeg Jets;1993;24;51;0;0.286;245;344;-99;52;0.7122093023255814
Mighty Ducks of Anaheim;1994;16;27;0;0.333;125;164;-39;33;0.7621951219512195
Boston Bruins;1994;27;18;0;0.562;150;127;23;33;1.1811023622047243
Buffalo Sabres;1994;22;19;0;0.458;130;119;11;33;1.0924369747899159
Calgary Flames;1994;24;17;0;0.5;163;135;28;33;1.2074074074074075
Chicago Blackhawks;1994;24;19;0;0.5;156;115;41;33;1.3565217391304347
Dallas Stars;1994;17;23;0;0.354;136;135;1;33;1.0074074074074073
Detroit Red Wings;1994;33;11;0;0.688;180;117;63;33;1.5384615384615385
Edmonton Oilers;1994;17;27;0;0.354;136;183;-47;33;0.7431693989071039
Florida Panthers;1994;20;22;0;0.417;115;127;-12;33;0.905511811023622
Hartford Whalers;1994;19;24;0;0.396;127;141;-14;33;0.900709219858156
Los Angeles Kings;1994;16;23;0;0.333;142;174;-32;33;0.8160919540229885
Montreal Canadiens;1994;18;23;0;0.375;125;148;-23;33;0.8445945945945946
New Jersey Devils;1994;22;18;0;0.458;136;121;15;33;1.1239669421487604
New York Islanders;1994;15;28;0;0.312;126;158;-32;33;0.7974683544303798
New York Rangers;1994;22;23;0;0.458;139;134;5;33;1.037313432835821
Ottawa Senators;1994;9;34;0;0.188;117;174;-57;33;0.6724137931034483
Philadelphia Flyers;1994;28;16;0;0.583;150;132;18;33;1.1363636363636365
Pittsburgh Penguins;1994;29;16;0;0.604;181;158;23;33;1.1455696202531647
Quebec Nordiques;1994;30;13;0;0.625;185;134;51;33;1.3805970149253732
San Jose Sharks;1994;19;25;0;0.396;129;161;-32;33;0.8012422360248447
St. Louis Blues;1994;28;15;0;0.583;178;135;43;33;1.3185185185185184
Tampa Bay Lightning;1994;17;28;0;0.354;120;144;-24;33;0.8333333333333334
Toronto Maple Leafs;1994;21;19;0;0.438;135;146;-11;33;0.9246575342465754
Vancouver Canucks;1994;18;18;0;0.375;153;148;5;33;1.0337837837837838
Washington Capitals;1994;22;18;0;0.458;136;120;16;33;1.1333333333333333
Winnipeg Jets;1994;16;25;0;0.333;157;177;-20;33;0.8870056497175142
Mighty Ducks of Anaheim;1995;35;39;0;0.427;234;247;-13;62;0.9473684210526315
Boston Bruins;1995;40;31;0;0.488;282;269;13;62;1.0483271375464684
Buffalo Sabres;1995;33;42;0;0.402;247;262;-15;62;0.9427480916030534
